Table 6P.2a - List of 36 ICD-10-PCS procedure code combinations describing the implantation of a deep brain stimulation system			
ICD-10-PCS Procedure Code	Description		
0JH60DZ and 00H00MZ	"Insertion of multiple array stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH60DZ and 00H03MZ	"Insertion of multiple array stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH60DZ and 00H04MZ	"Insertion of multiple array stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH60EZ and 00H00MZ	"Insertion of multiple array rechargeable stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH60EZ and 00H03MZ	"Insertion of multiple array rechargeable stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH60EZ and 00H04MZ	"Insertion of multiple array rechargeable stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH63DZ and 00H00MZ	"Insertion of multiple array stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH63DZ and 00H03MZ	"Insertion of multiple array stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH63DZ and 00H04MZ	"Insertion of multiple array stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH63EZ and 00H00MZ	"Insertion of multiple array rechargeable stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH63EZ and 00H03MZ	"Insertion of multiple array rechargeable stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH63EZ and 00H04MZ	"Insertion of multiple array rechargeable stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH70DZ and 00H00MZ	"Insertion of multiple array stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH70DZ and 00H03MZ	"Insertion of multiple array stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH70DZ and 00H04MZ	"Insertion of multiple array stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH70EZ and 00H00MZ	"Insertion of multiple array rechargeable stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH70EZ and 00H03MZ	"Insertion of multiple array rechargeable stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH70EZ and 00H04MZ	"Insertion of multiple array rechargeable stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH73DZ and 00H00MZ	"Insertion of multiple array stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH73DZ and 00H03MZ	"Insertion of multiple array stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH73DZ and 00H04MZ	"Insertion of multiple array stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH73EZ and 00H00MZ	"Insertion of multiple array rechargeable stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH73EZ and 00H03MZ	"Insertion of multiple array rechargeable stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH73EZ and 00H04MZ	"Insertion of multiple array rechargeable stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH80DZ and 00H00MZ	"Insertion of multiple array stimulator generator into abdomen subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH80DZ and 00H03MZ	"Insertion of multiple array stimulator generator into abdomen subcutaneous tissue and fascia, open approach"		
