Table 6P.2b - List of 36 ICD-10-PCS procedure code combinations describing insertion of a single array stimulator generator or a rechargeable single array stimulator generator and the insertion of a neurostimulator lead into the brain			
ICD-10-PCS Procedure Code	Description		
0JH60BZ and 00H00MZ	"Insertion of single array stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH60BZ and 00H03MZ	"Insertion of single array stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH60BZ and 00H04MZ	"Insertion of single array stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH60CZ and 00H00MZ	"Insertion of single array rechargeable stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH60CZ and 00H03MZ	"Insertion of single array rechargeable stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH60CZ and 00H04MZ	"Insertion of single array rechargeable stimulator generator into chest subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH63BZ and 00H00MZ	"Insertion of single array stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH63BZ and 00H03MZ	"Insertion of single array stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH63BZ and 00H04MZ	"Insertion of single array stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH63CZ and 00H00MZ	"Insertion of single array rechargeable stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH63CZ and 00H03MZ	"Insertion of single array rechargeable stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH63CZ and 00H04MZ	"Insertion of single array rechargeable stimulator generator into chest subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH70BZ and 00H00MZ	"Insertion of single array stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH70BZ and 00H03MZ	"Insertion of single array stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH70BZ and 00H04MZ	"Insertion of single array stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH70CZ and 00H00MZ	"Insertion of single array rechargeable stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH70CZ and 00H03MZ	"Insertion of single array rechargeable stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH70CZ and 00H04MZ	"Insertion of single array rechargeable stimulator generator into back subcutaneous tissue and fascia, open approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH73BZ and 00H00MZ	"Insertion of single array stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH73BZ and 00H03MZ	"Insertion of single array stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH73BZ and 00H04MZ	"Insertion of single array stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
0JH73CZ and 00H00MZ	"Insertion of single array rechargeable stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, open approach"		
0JH73CZ and 00H03MZ	"Insertion of single array rechargeable stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous approach"		
0JH73CZ and 00H04MZ	"Insertion of single array rechargeable stimulator generator into back subcutaneous tissue and fascia, percutaneous approach"		
	"Insertion of neurostimulator lead into brain, percutaneous endoscopic approach"		
