Table 6P.2f - List of 6 ICD-10-PCS procedure codes describing dilation of an intracranial vein and the comparable translation under ICD-9-CM 						
MS-DRGs 	ICD-10-PCS Procedure Code	Code Description		MS-DRGs 	ICD-9-CM Procedure Code	Code Description
"252, 253, 254"	057L0DZ	"Dilation of intracranial vein with intraluminal device, open approach"		Non - O.R.	00.40	Procedure on single vessel
				"037, 038, 039
166, 167, 168
252, 253, 254
356, 357, 358
423, 424, 425
515, 516, 517
579, 580, 581
628, 629, 630
673, 674, 675
907, 908, 909
957, 958, 959"	39.50	Angioplasty of other non-coronary vessel(s)
				Non - O.R.	39.90	Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
"252, 253, 254"	057L0ZZ	"Dilation of intracranial vein, open approach"		Non - O.R.	00.40	Procedure on single vessel
				"037, 038, 039
166, 167, 168
252, 253, 254
356, 357, 358
423, 424, 425
515, 516, 517
579, 580, 581
628, 629, 630
673, 674, 675
907, 908, 909
957, 958, 959"	39.50	Angioplasty of other non-coronary vessel(s)
"023, 024
025, 026, 027
252, 253, 254
907, 908, 909
957, 958, 959	"	057L3DZ	"Dilation of intracranial vein with intraluminal device, percutaneous approach"		Non - O.R.	00.40	Procedure on single vessel
				Non - O.R.	00.45	Insertion of one vascular stent
				"023, 024
025, 026, 027
252, 253, 254
907, 908, 909
957, 958, 959"	00.62	Percutaneous angioplasty of intracranial vessel(s)
				Non - O.R.	00.65	Percutaneous insertion of intracranial vascular stent(s)
"252, 253, 254"	057L3ZZ	"Dilation of intracranial vein, percutaneous approach"		Non - O.R.	00.40	Procedure on single vessel
				"037, 038, 039
166, 167, 168
252, 253, 254
356, 357, 358
423, 424, 425
515, 516, 517
579, 580, 581
628, 629, 630
673, 674, 675
907, 908, 909
957, 958, 959"	39.50	Angioplasty of other non-coronary vessel(s)
"023, 024	
025, 026, 027	
252, 253, 254	
907, 908, 909	
957, 958, 959	"	057L4DZ	"Dilation of intracranial vein with intraluminal device, percutaneous endoscopic approach"		Non - O.R.	00.40	Procedure on single vessel
				Non - O.R.	00.45	Insertion of one vascular stent
				"023, 024
025, 026, 027
252, 253, 254
907, 908, 909
957, 958, 959"	00.62	Percutaneous angioplasty of intracranial vessel(s)
				Non - O.R.	00.65	Percutaneous insertion of intracranial vascular stent(s)
"252, 253, 254"	057L4ZZ	"Dilation of intracranial vein, percutaneous endoscopic approach"		Non - O.R.	00.40	Procedure on single vessel
				"037, 038, 039
166, 167, 168
252, 253, 254
356, 357, 358
423, 424, 425
515, 516, 517
579, 580, 581
628, 629, 630
673, 674, 675
907, 908, 909
957, 958, 959"	39.50	Angioplasty of other non-coronary vessel(s)
