TABLE 6P.-- ICD-10-CM and ICD-10-PCS Codes for MS-DRG Changes - FY 2026		
Note to Reviewers:  The following tables (identified under separate worksheets (tabs)) within this Excel workbook display the ICD-10-CM and ICD-10-PCS codes for the following MS-DRG issues.  We refer readers to section II. of the FY 2026 IPPS/LTCH PPS final rule for a detailed discussion regarding the finalized MS-DRG changes for the listed codes.		
		
Tables (Tab)  1	MS-DRG Issue	Description
6P.1a	"ICD-10 MS-DRG Test Grouper, Version 43"	List of ICD-10-CM diagnosis code mapping between Version 42 and Version 43 of the MS-DRGs 
6P.1b	"ICD-10 MS-DRG Test Grouper, Version 43"	List of ICD-10-PCS procedure code mapping between Version 42.1 and Version 43 of the MS-DRGs
Tables (Tab)  2	 Coding and MS-DRG GROUPER Logic Issues	Description
6P.2a	Logic for MS-DRGs 023 through 027	List of 36 ICD-10-PCS procedure code combinations describing the implantation of a deep brain stimulation system
6P.2b	Logic for MS-DRGs 023 through 027	List of 36 ICD-10-PCS procedure code combinations describing insertion of a single array stimulator generator or a rechargeable single array stimulator generator and the insertion of a neurostimulator lead into the brain
6P.2c	Logic for MS-DRGs 023 through 027	List of 61 ICD-10-PCS procedure codes describing intracranial vascular procedures
6P.2d	Logic for MS-DRGs 023 through 027	List of 66 ICD-10-CM diagnosis codes describing a diagnosis of intracranial hemorrhage
6P.2e	Logic for MS-DRGs 023 through 027	"List of ICD-10-PCS procedure code combinations proposed for the “Intracranial Neurostimulator Implant” logic in MS-DRGs 020, 021, and 022"
6P.2f	Logic for MS-DRGs 023 through 027	List of 6 ICD-10-PCS procedure codes describing dilation of an intracranial vein and the comparable translation under ICD-9-CM 
6P.3a	Surgical Ablation	List of ICD-10-PCS procedure codes that describe open surgical valve procedures and open surgical ablation procedures
6P.4a	Percutaneous Coronary Atherectomy 	List of ICD-10-PCS procedure codes finalized for the logic of new MS-DRGs 359 and 360
6P.4b	Percutaneous Coronary Atherectomy 	List of ICD-10-PCS procedure codes finalized for the logic of new MS-DRG 318
6P.5a	Complex Aortic Arch Procedures	List of ICD-10-PCS procedure codes finalized for the logic of new MS-DRG 209
6P.7a	Arthroscopy	"List of ICD-10-PCS procedure codes reassigned to MS-DRGs 510, 511, 512, 513, 514, 515, 516, and 517"
6P.8a	CC Exclusions List	List of principal diagnosis codes removed from Principal Diagnosis Collection List number 1335
		
		
1 Tables 6P.1a - 6P.1b MS-DRG Changes		
2 Tables 6P.2a - 6P.8a Coding and MS-DRG GROUPER Logic Issues		
