"Table 6P.7a - List of ICD-10-PCS procedure codes reassigned to MS-DRGs 510, 511, 512, 513, 514, 515, 516, and 517"			
ICD-10-PCS Procedure Code 	Description	FY 2026 MS-DRG Assignment 	
0RJ04ZZ	"Inspection of occipital-cervical joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJ14ZZ	"Inspection of cervical vertebral joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJ34ZZ	"Inspection of cervical vertebral disc, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJ44ZZ	"Inspection of cervicothoracic vertebral joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJ54ZZ	"Inspection of cervicothoracic vertebral disc, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJ64ZZ	"Inspection of thoracic vertebral joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJ94ZZ	"Inspection of thoracic vertebral disc, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJA4ZZ	"Inspection of thoracolumbar vertebral joint, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJB4ZZ	"Inspection of thoracolumbar vertebral disc, percutaneous endoscopic approach"	"MS-DRGs 515-517 (Other Musculoskeletal System and Connective Tissue O.R. Procedures with MCC, with CC, and without CC/MCC, respectively) "	
0RJE4ZZ	"Inspection of right sternoclavicular joint, percutaneous endoscopic approach"	"MS-DRGs 510-512 (Shoulder, Elbow or Forearm Procedures, Except Major Joint Procedures with MCC, with CC, and without CC/MCC, respectively) "	
