TABLE 6B - NEW PROCEDURE CODES
Procedure Code	Description	O.R.	MDC	MS-DRG
00H033J*	Insertion of Infusion Device into Brain, Temporary, Percutaneous Approach	Y	01	023, 024, 025, 026, 027
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	955
""				981, 982, 983
00P207Z*	Removal of Autologous Tissue Substitute from Dura Mater, Open Approach	Y	01	023, 024, 025, 026, 027
""			21	907, 908, 909
""			24	955
""				981, 982, 983
00P20JZ*	Removal of Synthetic Substitute from Dura Mater, Open Approach	Y	01	023, 024, 025, 026, 027
""			21	907, 908, 909
""			24	955
""				981, 982, 983
00P20KZ*	Removal of Nonautologous Tissue Substitute from Dura Mater, Open Approach	Y	01	023, 024, 025, 026, 027
""			21	907, 908, 909
""			24	955
""				981, 982, 983
00PT07Z*	Removal of Autologous Tissue Substitute from Spinal Meninges, Open Approach	Y	01	028, 029, 030
""			07	423, 424, 425
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
00PT0JZ*	Removal of Synthetic Substitute from Spinal Meninges, Open Approach	Y	01	028, 029, 030
""			07	423, 424, 425
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
00PT0KZ*	Removal of Nonautologous Tissue Substitute from Spinal Meninges, Open Approach	Y	01	028, 029, 030
""			07	423, 424, 425
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
00W207Z*	Revision of Autologous Tissue Substitute in Dura Mater, Open Approach	Y	01	023, 024, 025, 026, 027
""			21	907, 908, 909
""			24	955
""				981, 982, 983
00W20JZ*	Revision of Synthetic Substitute in Dura Mater, Open Approach	Y	01	023, 024, 025, 026, 027
""			21	907, 908, 909
""			24	955
""				981, 982, 983
00W20KZ*	Revision of Nonautologous Tissue Substitute in Dura Mater, Open Approach	Y	01	023, 024, 025, 026, 027
""			21	907, 908, 909
""			24	955
""				981, 982, 983
00WT07Z*	Revision of Autologous Tissue Substitute in Spinal Meninges, Open Approach	Y	01	028, 029, 030
""			07	423, 424, 425
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
00WT0JZ*	Revision of Synthetic Substitute in Spinal Meninges, Open Approach	Y	01	028, 029, 030
""			07	423, 424, 425
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
00WT0KZ*	Revision of Nonautologous Tissue Substitute in Spinal Meninges, Open Approach	Y	01	028, 029, 030
""			07	423, 424, 425
""			17	820, 821, 822, 826, 827, 828
""			21	907, 908, 909
""			24	957, 958, 959
""				981, 982, 983
02UW3LZ	Supplement Thoracic Aorta, Descending with Intraluminal Device, Endovascular Anchors, Percutaneous Approach	Y	05	212, 216, 217, 218, 219, 220, 221
""			11	673, 674, 675
""			21	907, 908, 909
""			24	957, 958, 959
