TABLE 6C - INVALID DIAGNOSIS CODES
Diagnosis Code	Description	CC	MDC	MS-DRG
B88.0	Other acariasis	N	09	606, 607
D71	Functional disorders of polymorphonuclear neutrophils	N	16	808, 809, 810
E72.53	Primary hyperoxaluria	C	10	642
E78.01	Familial hypercholesterolemia	N	10	642
E88.1	Lipodystrophy, not elsewhere classified	N	10	642
G35	Multiple sclerosis	N	01	058, 059, 060
H01.8	Other specified inflammations of eyelid	N	02	124, 125
Q89.8	Other specified congenital malformations	C	08	564, 565, 566
Q99.8	Other specified chromosome abnormalities	N	12	729, 730
""			13	742, 743, 760, 761
R10.2	Pelvic and perineal pain	N	06	391, 392
R76.8	Other specified abnormal immunological findings in serum	N	16	814, 815, 816
S30.1XXA	Contusion of abdominal wall, initial encounter	N	09	604, 605
""			24	963, 964, 965
S30.1XXD	Contusion of abdominal wall, subsequent encounter	N	23	949, 950
S30.1XXS	Contusion of abdominal wall, sequela	N	09	604, 605
T78.07XA	Anaphylactic reaction due to milk and dairy products, initial encounter	C	21	915, 916
T78.07XD	Anaphylactic reaction due to milk and dairy products, subsequent encounter	N	23	949, 950
T78.07XS	Anaphylactic reaction due to milk and dairy products, sequela	N	21	922, 923
T78.08XA	Anaphylactic reaction due to eggs, initial encounter	C	21	915, 916
T78.08XD	Anaphylactic reaction due to eggs, subsequent encounter	N	23	949, 950
T78.08XS	Anaphylactic reaction due to eggs, sequela	N	21	922, 923
T78.1XXA	Other adverse food reactions, not elsewhere classified, initial encounter	N	21	922, 923
T78.1XXD	Other adverse food reactions, not elsewhere classified, subsequent encounter	N	23	949, 950
T78.1XXS	Other adverse food reactions, not elsewhere classified, sequela	N	21	922, 923
Z40.8	Encounter for other prophylactic surgery	N	23	951
Z59.86	Financial insecurity	N	23	951
Z84.1	Family history of disorders of kidney and ureter	N	23	951
Z91.011	Allergy to milk products	N	23	951
Z91.012	Allergy to eggs	N	23	951

	Notes:
