TABLE 6E - REVISED DIAGNOSIS CODE TITLES
Diagnosis Code	Description	CC	MDC	MS-DRG
L02.212	Cutaneous abscess of back [any part, except buttock and flank]	C	09	573, 574, 575, 602, 603
""			15	791(1), 793(1)
L02.222	Furuncle of back [any part, except buttock and flank]	N	09	602, 603
M21.159	Varus deformity, not elsewhere classified, unspecified hip	N	08	564, 565, 566
M24.076	Loose body in unspecified toe joint(s)	N	08	564, 565, 566
M61.129	Myositis ossificans progressiva, unspecified upper arm	N	08	557, 558
P09.6	Abnormal findings on neonatal hearing screening	N	23	947, 948
Q75.001	Craniosynostosis, unspecified type, unilateral	N	08	564, 565, 566
Q75.002	Craniosynostosis, unspecified type, bilateral	N	08	564, 565, 566
Q75.009	Craniosynostosis, unspecified	N	08	564, 565, 566
Q75.021	Coronal craniosynostosis, unilateral	N	08	564, 565, 566
Q75.022	Coronal craniosynostosis, bilateral	N	08	564, 565, 566
Q75.029	Coronal craniosynostosis, unspecified	N	08	564, 565, 566
S62.90XA	Unspecified fracture of unspecified hand, initial encounter for closed fracture	N	08	562, 563
""			24	963, 964, 965
S62.90XB	Unspecified fracture of unspecified hand, initial encounter for open fracture	C	08	562, 563
""			24	963(2), 964(2), 965(2)
S62.90XD	Unspecified fracture of unspecified hand, subsequent encounter for fracture with routine healing	N	08	559, 560, 561
S62.90XG	Unspecified fracture of unspecified hand, subsequent encounter for fracture with delayed healing	N	08	559, 560, 561
S62.90XK	Unspecified fracture of unspecified hand, subsequent encounter for fracture with nonunion	C	08	564, 565, 566
S62.90XP	Unspecified fracture of unspecified hand, subsequent encounter for fracture with malunion	C	08	564, 565, 566
S62.90XS	Unspecified fracture of unspecified hand, sequela	N	08	559, 560, 561
S62.91XA	Unspecified fracture of right hand, initial encounter for closed fracture	N	08	562, 563
""			24	963, 964, 965
S62.91XB	Unspecified fracture of right hand, initial encounter for open fracture	C	08	562, 563
""			24	963, 964, 965
S62.91XD	Unspecified fracture of right hand, subsequent encounter for fracture with routine healing	N	08	559, 560, 561
S62.91XG	Unspecified fracture of right hand, subsequent encounter for fracture with delayed healing	N	08	559, 560, 561
S62.91XK	Unspecified fracture of right hand, subsequent encounter for fracture with nonunion	C	08	564, 565, 566
S62.91XP	Unspecified fracture of right hand, subsequent encounter for fracture with malunion	C	08	564, 565, 566
S62.91XS	Unspecified fracture of right hand, sequela	N	08	559, 560, 561
S62.92XA	Unspecified fracture of left hand, initial encounter for closed fracture	N	08	562, 563
""			24	963, 964, 965
S62.92XB	Unspecified fracture of left hand, initial encounter for open fracture	C	08	562, 563
""			24	963, 964, 965
S62.92XD	Unspecified fracture of left hand, subsequent encounter for fracture with routine healing	N	08	559, 560, 561
S62.92XG	Unspecified fracture of left hand, subsequent encounter for fracture with delayed healing	N	08	559, 560, 561
S62.92XK	Unspecified fracture of left hand, subsequent encounter for fracture with nonunion	C	08	564, 565, 566
S62.92XP	Unspecified fracture of left hand, subsequent encounter for fracture with malunion	C	08	564, 565, 566
S62.92XS	Unspecified fracture of left hand, sequela	N	08	559, 560, 561
S74.21XA	Injury of cutaneous sensory nerve at hip and thigh level, right leg, initial encounter	N	01	073, 074
""			24	963, 964, 965
S74.21XD	Injury of cutaneous sensory nerve at hip and thigh level, right leg, subsequent encounter	N	23	949, 950
S74.21XS	Injury of cutaneous sensory nerve at hip and thigh level, right leg, sequela	N	01	091, 092, 093
Y07.435	Stepbrother, perpetrator of maltreatment and neglect	N		
Z83.718	Family history of other colon polyps	N	23	951

	Notes:
	(1)-On newborn major problem list
	(2)-Significant trauma body site - upper limb
