TABLE 6I.1 - ADDITIONS TO THE MCC LIST
Diagnosis Code	Description
N00.B1	Acute nephritic syndrome with idiopathic immune membranoproliferative glomerulonephritis (IC-MPGN)
N00.B2	Acute nephritic syndrome with secondary immune complex membranoproliferative glomerulonephritis (IC-MPGN)
S31.606A	Unspecified open wound of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter
S31.607A	Unspecified open wound of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter
S31.60AA	Unspecified open wound of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter
S31.616A	Laceration without foreign body of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter
S31.617A	Laceration without foreign body of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter
S31.61AA	Laceration without foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter
S31.626A	Laceration with foreign body of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter
S31.627A	Laceration with foreign body of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter
S31.62AA	Laceration with foreign body of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter
S31.636A	Puncture wound of abdominal wall without foreign body, right flank with penetration into peritoneal cavity, initial encounter
S31.637A	Puncture wound of abdominal wall without foreign body, left flank with penetration into peritoneal cavity, initial encounter
S31.63AA	Puncture wound of abdominal wall without foreign body, unspecified flank with penetration into peritoneal cavity, initial encounter
S31.646A	Puncture wound of abdominal wall with foreign body, right flank with penetration into peritoneal cavity, initial encounter
S31.647A	Puncture wound of abdominal wall with foreign body, left flank with penetration into peritoneal cavity, initial encounter
S31.64AA	Puncture wound of abdominal wall with foreign body, unspecified flank with penetration into peritoneal cavity, initial encounter
S31.656A	Open bite of abdominal wall, right flank with penetration into peritoneal cavity, initial encounter
S31.657A	Open bite of abdominal wall, left flank with penetration into peritoneal cavity, initial encounter
S31.65AA	Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, initial encounter

	Notes:
