Spinal Fusion,CABG,LEJR,CRS,SHFFT
"HCC 17 - Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic",HCC 37 - Diabetes with Chronic Complications,"HCC 17 - Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic","HCC 17 - Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic",HCC 36 - Diabetes with Severe Acute Complications
"HCC 18 - Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid",HCC 48 - Morbid Obesity,HCC 36 - Diabetes with Severe Acute Complications,"HCC 22 - Bladder, Colorectal, and Other Cancers",HCC 37 - Diabetes with Chronic Complications
HCC 37 - Diabetes with Chronic Complications,"HCC 125 - Dementia, Severe",HCC 37 - Diabetes with Chronic Complications,HCC 37 - Diabetes with Chronic Complications,"HCC 38 - Diabetes with Glycemic, Unspecified, or No Complications"
HCC 48 - Morbid Obesity,"HCC 126 - Dementia, Moderate",HCC 48 - Morbid Obesity,HCC 48 - Morbid Obesity,HCC 48 - Morbid Obesity
HCC 93 - Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders,"HCC 127 - Dementia, Mild or Unspecified","HCC 125 - Dementia, Severe",HCC 78 - Intestinal Obstruction/Perforation,HCC 63 - Chronic Liver Failure/End-Stage Liver Disorders
"HCC 125 - Dementia, Severe","HCC 155 - Major Depression, Moderate or Severe, without Psychosis","HCC 126 - Dementia, Moderate","HCC 125 - Dementia, Severe",HCC 93 - Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders
"HCC 126 - Dementia, Moderate",HCC 199 - Parkinson and Other Degenerative Disease of Basal Ganglia,"HCC 127 - Dementia, Mild or Unspecified","HCC 126 - Dementia, Moderate","HCC 109 - Acquired Hemolytic, Aplastic, and Sideroblastic Anemias"
"HCC 127 - Dementia, Mild or Unspecified",HCC 213 - Cardio-Respiratory Failure and Shock,HCC 151 - Schizophrenia,"HCC 127 - Dementia, Mild or Unspecified","HCC 125 - Dementia, Severe"
"HCC 155 - Major Depression, Moderate or Severe, without Psychosis",HCC 224 - Acute on Chronic Heart Failure,"HCC 155 - Major Depression, Moderate or Severe, without Psychosis",HCC 151 - Schizophrenia,"HCC 126 - Dementia, Moderate"
HCC 180 - Quadriplegia,"HCC 226 - Heart Failure, Except End-Stage and Acute",HCC 199 - Parkinson and Other Degenerative Disease of Basal Ganglia,"HCC 155 - Major Depression, Moderate or Severe, without Psychosis","HCC 127 - Dementia, Mild or Unspecified"
HCC 181 - Paraplegia,HCC 228 - Acute Myocardial Infarction,HCC 224 - Acute on Chronic Heart Failure,HCC 199 - Parkinson and Other Degenerative Disease of Basal Ganglia,HCC 180 - Quadriplegia
HCC 182 - Spinal Cord Disorders/Injuries,HCC 229 - Unstable Angina and Other Acute Ischemic Heart Disease,HCC 225 - Acute Heart Failure (Excludes Acute on Chronic),HCC 201 - Seizure Disorders and Convulsions,HCC 181 - Paraplegia
"HCC 192 - Cerebral Palsy, Except Quadriplegic",HCC 238 - Specified Heart Arrhythmias,"HCC 226 - Heart Failure, Except End-Stage and Acute",HCC 211 - Respirator Dependence/Tracheostomy Status/Complications,HCC 191 - Quadriplegic Cerebral Palsy
HCC 193 - Chronic Inflammatory Demyelinating Polyneuritis and Multifocal Motor Neuropathy,HCC 249 - Ischemic or Unspecified Stroke,HCC 238 - Specified Heart Arrhythmias,HCC 213 - Cardio-Respiratory Failure and Shock,HCC 198 - Multiple Sclerosis
HCC 199 - Parkinson and Other Degenerative Disease of Basal Ganglia,HCC 253 - Hemiplegia/Hemiparesis,HCC 253 - Hemiplegia/Hemiparesis,HCC 224 - Acute on Chronic Heart Failure,HCC 199 - Parkinson and Other Degenerative Disease of Basal Ganglia
HCC 224 - Acute on Chronic Heart Failure,HCC 263 - Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,HCC 267 - Deep Vein Thrombosis and Pulmonary Embolism,"HCC 226 - Heart Failure, Except End-Stage and Acute",HCC 211 - Respirator Dependence/Tracheostomy Status/Complications
"HCC 226 - Heart Failure, Except End-Stage and Acute","HCC 280 - Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders","HCC 280 - Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders",HCC 238 - Specified Heart Arrhythmias,HCC 213 - Cardio-Respiratory Failure and Shock
HCC 238 - Specified Heart Arrhythmias,"HCC 298 - Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage","HCC 326 - Chronic Kidney Disease, Stage 5",HCC 253 - Hemiplegia/Hemiparesis,"HCC 226 - Heart Failure, Except End-Stage and Acute"
HCC 249 - Ischemic or Unspecified Stroke,"HCC 326 - Chronic Kidney Disease, Stage 5","HCC 327 - Chronic Kidney Disease, Severe (Stage 4)",HCC 267 - Deep Vein Thrombosis and Pulmonary Embolism,HCC 238 - Specified Heart Arrhythmias
